Title,Year,Source title,Document Type,DOI,venue_classification,selection_status_existing,IC1_domain_context,IC2_ml_ai_data_driven,IC3_lifecycle_workflow_toolchain,IC4_core_rq_alignment_proxy,IC5_peer_reviewed_type_proxy,IC6_ranked_venue_Q1Q2_or_A_B,EC1_non_target_document_type,EC2_low_or_missing_venue_classification,EC3_isolated_task_paper_no_process_focus,EC4_runtime_or_acceleration_only_proxy,EC5_generic_ml_not_domain_specific,EC6_generic_process_not_domain_specific,IC,EC,Accepted
MetaML-Pro: Cross-Stage Design Flow Automation for Efficient Deep Learning Acceleration,2026,ACM Transactions on Reconfigurable Technology and Systems,Journal,10.1145/3795794,Q1,,,,,,,,,,,,,,,,
"hls4ml: A Flexible, Open-Source Platform for Deep Learning Acceleration on Reconfigurable Hardware",2026,ACM Transactions on Reconfigurable Technology and Systems,Journal,10.1145/3801979,Q1,,,,,,,,,,,,,,,,
da4ml: Distributed arithmetic for real-time neural networks on FPGAs,2026,ACM Transactions on Reconfigurable Technology and Systems,Journal,10.1145/3777387,Q1,,,,,,,,,,,,,,,,
Preplacement net length and timing estimation by customized graph neural network,2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,Journal,10.1109/TCAD.2022.3149977,Q1,,,,,,,,,,,,,,,,
VLSI placement parameter optimization using deep reinforcement learning,2020,International Conference on Computer-Aided Design,Conference,10.1145/3400302.3415690,A,,,,,,,,,,,,,,,,
A survey of graph neural networks for electronic design automation,2021,ACM/IEEE Workshop on Machine Learning for CAD,Workshop,10.1109/MLCAD52597.2021.9531070,N.A.,,,,,,,,,,,,,,,,
Generalizable cross-graph embedding for GNN-based congestion prediction,2021,International Conference On Computer Aided Design,Conference,10.1109/ICCAD51958.2021.964344,A,,,,,,,,,,,,,,,,
On joint learning for solving placement and routing in chip design,2021,N.A.,N.A.,10.48550/arXiv.2111.00234,N.A.,,,,,,,,,,,,,,,,
RL-Sizer: VLSI Gate Sizing for Timing Optimization using Deep Reinforcement Learning,2021,ACM/IEEE Design Automation Conference,Conference,10.1109/DAC18074.2021.9586138,A*,,,,,,,,,,,,,,,,
The Law of Attraction: Affinity-Aware Placement Optimization Using Graph Neural Networks,2021,International Symposium on Physical Design,Conference,10.1145/3439706.3447045,A,,,,,,,,,,,,,,,,
A customized graph neural network model for guiding analog IC placement,2020, International Conference on Computer-Aided Design,Conference,10.1145/3400302.3415624,A,,,,,,,,,,,,,,,,
Accurate operation delay prediction for FPGA HLS using graph neural networks,2020,International Conference on Computer-Aided Design,Conference,10.1145/3400302.3415657,A,,,,,,,,,,,,,,,,
AutoDNNchip: An automated dnn chip predictor and builder for both FPGAs and ASICs,2020,International Symposium on Field-Programmable Gate Arrays,Conference,10.1145/3373087.3375306,N.A.,,,,,,,,,,,,,,,,
Best of both worlds: Automl codesign of a cnn and its hardware accelerator,2020,ACM/IEEE Design Automation Conference,Conference,10.1109/DAC18072.2020.9218596,A*,,,,,,,,,,,,,,,,
Heterogeneous Graph Neural Network-Based Imitation Learning for Gate Sizing Acceleration,2022,International Conference on Computer-Aided Design,Conference,10.1145/3508352.3549361,A,,,,,,,,,,,,,,,,
LHNN: lattice hypergraph neural network for VLSI congestion prediction,2022,ACM/IEEE Design Automation Conference,Conference,10.1145/3489517.3530675,A*,,,,,,,,,,,,,,,,
Placement Optimization via PPA-Directed Graph Clustering,2022,ACM/IEEE Workshop on Machine Learning for CAD,Workshop,10.1145/3551901.3556482,N.A.,,,,,,,,,,,,,,,,
ARCO: Adaptive Multi-Agent Reinforcement Learning-Based Hardware/Software Co-Optimization Compiler for Improved Performance in DNN Accelerator Design,2024,N.A.,N.A.,10.48550/arXiv.2407.08192,N.A.,,,,,,,,,,,,,,,,
Compiler Autotuning through Multiple-phase Learning,2024,ACM Transactions on Software Engineering and Methodology,Journal,10.1145/3640330,Q1,,,,,,,,,,,,,,,,
NNSmith: Generating Diverse and Valid Test Cases for Deep Learning Compilers,2023,International Conference on Architectural Support for Programming Languages and Operating Systems,Conference,10.1145/3575693.3575707,N.A.,,,,,,,,,,,,,,,,
One-shot tuner for deep learning compilers,2022,International Conference on Compiler Construction,Conference,10.1145/3497776.3517774,B,,,,,,,,,,,,,,,,
C2HLSC: Can LLMs Bridge the Software-to-Hardware Design Gap?,2024,IEEE LLM Aided Design Workshop,Workshop,10.1109/LAD62341.2024.10691856,N.A.,,,,,,,,,,,,,,,,
DAVE: Deriving automatically verilog from english,2020,ACM/IEEE Workshop on Machine Learning for CAD,Workshop,10.1145/3380446.3430634,N.A.,,,,,,,,,,,,,,,,
TVM: An automated end-to-end optimizing compiler for deep learning,2018,USENIX conference on Operating Systems Design and Implementation,Conference,N.A.,N.A.,,,,,,,,,,,,,,,,
"High-Level Synthesis Performance Prediction using GNNs: Benchmarking, Modeling, and Advancing",2022,ACM/IEEE Design Automation Conference,Conference,10.1145/3489517.3530408,A*,,,,,,,,,,,,,,,,
Machine Learning Based Framework for Fast Resource Estimation of RTL Designs Targeting FPGAs,2022,ACM Transactions on Design Automation of Electronic Systems,Journal,10.1145/3555047,Q1,,,,,,,,,,,,,,,,
Leveraging Machine Learning for Gate-level Timing Estimation Using Current Source Models and Effective Capacitance,2022,Great Lakes Symposium on VLSI,Conference,10.1145/3526241.3530343,N.A.,,,,,,,,,,,,,,,,
A Comprehensive Survey on Electronic Design Automation and Graph Neural Networks: Theory and Applications,2023,ACM Transactions on Design Automation of Electronic Systems,Journal,10.1145/3543853,Q1,,,,,,,,,,,,,,,,
AI-based estimation of embedded software execution cycles in host-compiled simulation,2024,Conference on Design of Circuits and Integrated Systems (DCIS),Conference,10.1109/DCIS62603.2024.10769196,C,,,,,,,,,,,,,,,,
Large Language Models for EDA: Future or Mirage?,2024,International Symposium on Physical Design,Conference,10.1145/3626184.3639700,N.A.,,,,,,,,,,,,,,,,
Deep Learning on RISC-V Platforms at the Edge: APerspective on the Hardware and Software Support,2025,ACM Computing Surveys,Journal,10.1145/3772277,Q1,,,,,,,,,,,,,,,,
Leveraging Incremental Machine Learning forReconfigurable Systems Modeling under Dynamic Workloads,2025,ACM Transactions on Reconfigurable Technology and Systems,Journal,10.1145/3715154,Q1,,,,,,,,,,,,,,,,
Special Session: Machine Learning for Embedded System Design,2023,International Conference on Hardware/Software Codesign and System Synthesis,Workshop,10.1145/3607888.360896,N.A.,,,,,,,,,,,,,,,,
